Ax,Ay,Az,Distance
-0.41,-0.02,1.00,4.7
3.46,0.05,1.00,0.0
3.47,0.05,0.99,20.7
3.46,0.03,0.98,0.0
3.38,0.02,0.98,22.3
3.42,0.04,0.99,21.7
3.46,0.00,0.99,21.7
3.45,0.01,0.98,22.0
3.45,0.02,0.98,22.0
3.46,0.02,0.98,22.0
3.46,0.02,0.99,22.0
3.45,0.02,0.99,21.0
3.48,0.00,0.98,20.4
3.48,0.00,1.00,21.0
3.49,-0.01,0.98,20.7
3.41,-0.02,1.00,21.7
3.53,3.95,1.01,20.4
3.54,-0.01,0.97,20.7
3.51,3.97,0.99,20.7
-0.43,0.00,0.99,18.2
3.54,-0.01,1.00,19.4
-0.45,-0.01,0.99,19.4
-0.45,-0.00,1.01,20.7
-0.44,-0.01,1.00,18.2
-0.16,-0.01,1.47,21.0
3.23,0.13,4.53,22.6
3.12,3.94,0.81,22.3
-0.31,0.01,1.15,21.0
3.39,3.95,0.98,21.7
3.44,3.94,0.98,21.4
3.44,3.91,0.94,21.4
3.19,3.92,0.93,22.7
-0.18,3.89,1.04,21.0
3.52,3.95,0.98,20.7
3.25,3.92,0.93,7.3
3.36,3.88,0.98,3.7
3.42,3.91,0.88,3.4
-0.08,3.88,0.95,0.0
0.13,3.97,0.82,11.4
0.10,3.96,0.82,7.3
0.11,3.96,0.83,4.4
0.09,3.96,0.85,3.7
0.10,3.97,0.81,3.7
0.10,3.97,0.84,5.0
0.09,3.96,0.88,11.0
0.04,3.97,0.79,3.7
0.09,3.96,0.84,4.7
0.07,3.97,0.86,11.0
0.08,3.95,0.81,7.3
0.09,-0.01,0.87,6.3
0.03,3.93,0.86,8.9
0.11,3.94,0.90,6.3
0.05,3.95,0.88,15.6
0.06,3.94,0.93,4.4
0.06,3.93,0.89,5.3
0.04,3.94,0.81,3.7
0.06,3.93,0.86,10.7
0.03,3.93,0.86,4.4
0.08,3.94,0.85,3.7
0.07,3.94,0.84,-1.0
-0.45,-0.02,0.69,0.0
-0.45,-0.02,0.69,0.0
-0.45,-0.02,0.69,-1.0
-0.45,-0.02,0.69,15.9
